month,cases,temp,rain,humidity,WindSpeed
2010-01-01,167734,25.589814,46360.7698,77.0842362118492,3.2165974765974767
2010-02-01,212587,25.550895574506285,39478.6653,77.37885246409336,3.245866910866911
2010-03-01,256705,25.169433186714546,37345.6386,79.03748382854577,3.036233211233211
2010-04-01,236685,23.39109743716337,29837.7473,77.16583432226211,3.133966218966219
2010-05-01,187803,21.874026980251344,23958.6089,76.46638712387791,3.15936507936508
2010-06-01,65617,20.910776494614,9033.9445,71.52755410233394,3.386890516890517
2010-07-01,46307,21.041665035906643,16016.1215,71.13529029174147,3.611888481888482
2010-08-01,44756,21.517504624775583,7790.5177,63.451085364452425,3.6840964590964593
2010-09-01,29535,23.26981948384201,17154.9477,64.35220965439856,3.866363451363452
2010-10-01,33294,23.70505093357271,34282.451,71.23966641651705,3.341174196174196
2010-11-01,41422,24.42988871633752,34589.793,74.04780037701975,3.282281237281237
2010-12-01,56071,24.622441989228008,59757.2418,78.25926419748654,3.193015873015873
2011-01-01,127326,25.005438861759423,61036.1501,79.60509501974866,3.1313186813186813
2011-02-01,163954,24.680405740574507,55714.443,80.22707935368042,3.036689051689052
2011-03-01,213044,24.27657629712747,46127.8852,81.91039938061041,3.0814245014245016
2011-04-01,220936,23.35895581238779,33757.4294,80.34088941651706,2.917743182743183
2011-05-01,177870,21.3437332459605,20199.2881,77.09916796050268,3.0815201465201465
2011-06-01,51671,20.307101678635547,17473.8467,74.7216756956912,3.3141249491249494
2011-07-01,35677,20.563413052064632,19784.5897,70.8670141113106,3.462446072446072
2011-08-01,22107,22.202664124775584,12549.6849,65.10272396768401,3.754135124135124
2011-09-01,22776,23.02943112657092,10716.586,62.57164542190305,3.747761497761498
2011-10-01,33312,23.340858610412926,38882.8276,73.4077037881508,3.5313024013024013
2011-11-01,34099,23.841798070017955,33885.1905,74.22475100089767,3.4014183964183964
2011-12-01,45859,24.69582938061041,36276.8568,73.90669819569119,3.260966625966626
2012-01-01,91648,24.503307174147217,53267.8468,76.21101305924597,3.318844118844119
2012-02-01,92859,25.18529009874327,32516.5697,74.58085850987432,3.204155474155474
2012-03-01,136487,24.56446647217235,26569.3757,73.82749183123877,2.9606023606023606
2012-04-01,218854,23.635542696588868,25315.0648,74.45809203231597,2.959462759462759
2012-05-01,151630,22.07722160233393,14887.587,75.73966794883303,3.18483312983313
2012-06-01,75485,21.25622404398564,19904.1281,76.09114833034111,3.189888074888075
2012-07-01,49262,20.78984892998205,14299.2825,69.65695411490125,3.531218966218966
2012-08-01,25528,22.15369857271095,5156.2958,63.85245233393178,3.882887667887668
2012-09-01,24519,23.670516757630164,14865.0173,62.18064093357271,3.759334554334554
2012-10-01,19733,24.89814427737881,19397.0289,67.58482486086176,3.722175417175417
2012-11-01,26602,24.65950352333932,32200.4961,73.20428971274686,3.162853072853073
2012-12-01,68011,25.667364910233395,49936.8798,73.9617652962298,3.28453194953195
2013-01-01,195805,24.88482130610413,45028.0894,76.53886215439857,3.2097110297110296
2013-02-01,330362,25.199841517055656,36555.9806,75.60805390933572,3.193406593406593
2013-03-01,648764,24.61400051705565,50708.2436,78.07762386355475,3.1623748473748474
2013-04-01,410806,23.00873977558348,23724.309,77.40338177289048,3.001037851037851
2013-05-01,172538,21.8006359470377,21973.5023,76.57261334829444,3.040087505087505
2013-06-01,88802,21.35959124236984,26207.9238,77.90594540394973,3.031847781847782
2013-07-01,34973,20.613109124775583,11671.1271,71.10408654398564,3.369312169312169
2013-08-01,26250,21.221087015260323,13077.6462,66.98845232944345,3.682484737484738
2013-09-01,24923,23.131196341113107,24207.8956,68.02056382764812,3.8489540089540086
2013-10-01,19382,23.86632921454219,19999.8744,70.13366274236984,3.6003296703296703
